Event	ID	Name			Wwise Object Path	Notes
	1002703731	Voiceline			\Default Work Unit\Voiceline	

Switch Group	ID	Name			Wwise Object Path	Notes
	408582676	Types			\Default Work Unit\Types	
	1493036792	Roles			\Default Work Unit\Roles	

Switch	ID	Name	Switch Group			Notes
	993089949	LevelPanel	Types			
	1593864692	Defeat	Types			
	1825909681	AllyDead	Types			
	1941003890	Wave	Types			
	2030840469	Kill	Types			
	2227248325	CharacterSelected	Types			
	2716678721	Victory	Types			
	2745196565	HealAlly	Types			
	2766121599	Ride	Types			
	3013823463	EnergySelf	Types			
	3178938455	EnergyAlly	Types			
	3506714309	HealSelf	Types			
	313898792	PYROMANIAC	Roles			
	778039303	HACKER	Roles			
	1842327993	PILOT	Roles			
	2550763292	SNIPER	Roles			
	3142410969	MEDIC	Roles			

Game Parameter	ID	Name			Wwise Object Path	Notes
	133642231	General			\Default Work Unit\General	
	1002703731	Voiceline			\Default Work Unit\Voiceline	

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	7891458	Max_Defeat_01_FXLoud	C:\Users\Noa\Perforce\NoaLittlePc\MissionAetheria\MissionAetheria_WwiseProject\.cache\Mac\SFX\Max_Defeat_01_FXLoud_818F3B66.wem		\Actor-Mixer Hierarchy\Default Work Unit\VOICELINE\Roles\Pyromaniac\Defeat\Max_Defeat_01_FXLoud		845528
	9259892	Ivan_EnergySelf_01_FXLoud	C:\Users\Noa\Perforce\NoaLittlePc\MissionAetheria\MissionAetheria_WwiseProject\.cache\Mac\SFX\Ivan_EnergySelf_01_FXLoud_818F3B66.wem		\Actor-Mixer Hierarchy\Default Work Unit\VOICELINE\Roles\Sniper\EnergySelf\Ivan_EnergySelf_01_FXLoud		272156
	12356671	Prya_AllyDead_02_InHeadFX	C:\Users\Noa\Perforce\NoaLittlePc\MissionAetheria\MissionAetheria_WwiseProject\.cache\Mac\SFX\Prya_AllyDead_02_InHeadFX_818F3B66.wem		\Actor-Mixer Hierarchy\Default Work Unit\VOICELINE\Roles\Medic\AllyDead\Prya_AllyDead_02_InHeadFX		598332
	14811719	Max_Victory_01_FXLoud	C:\Users\Noa\Perforce\NoaLittlePc\MissionAetheria\MissionAetheria_WwiseProject\.cache\Mac\SFX\Max_Victory_01_FXLoud_818F3B66.wem		\Actor-Mixer Hierarchy\Default Work Unit\VOICELINE\Roles\Pyromaniac\Victory\Max_Victory_01_FXLoud		683040
	14944400	Max_EnergySelf_04_FXLoud	C:\Users\Noa\Perforce\NoaLittlePc\MissionAetheria\MissionAetheria_WwiseProject\.cache\Mac\SFX\Max_EnergySelf_04_FXLoud_818F3B66.wem		\Actor-Mixer Hierarchy\Default Work Unit\VOICELINE\Roles\Pyromaniac\EnergySelf\Max_EnergySelf_04_FXLoud		360768
	19751539	Max_EnergyAlly_04_RadioFX	C:\Users\Noa\Perforce\NoaLittlePc\MissionAetheria\MissionAetheria_WwiseProject\.cache\Mac\SFX\Max_EnergyAlly_04_RadioFX_818F3B66.wem		\Actor-Mixer Hierarchy\Default Work Unit\VOICELINE\Roles\Pyromaniac\EnergyAlly\Max_EnergyAlly_04_RadioFX		626584
	30033587	Ivan_Wave_01_RadioFX	C:\Users\Noa\Perforce\NoaLittlePc\MissionAetheria\MissionAetheria_WwiseProject\.cache\Mac\SFX\Ivan_Wave_01_RadioFX_818F3B66.wem		\Actor-Mixer Hierarchy\Default Work Unit\VOICELINE\Roles\Sniper\Wave\Ivan_Wave_01_RadioFX		390920
	35942163	Max_CharacterSelected_01_InHeadFX	C:\Users\Noa\Perforce\NoaLittlePc\MissionAetheria\MissionAetheria_WwiseProject\.cache\Mac\SFX\Max_CharacterSelected_01_InHeadFX_818F3B66.wem		\Actor-Mixer Hierarchy\Default Work Unit\VOICELINE\Roles\Pyromaniac\CharacterSelected\Max_CharacterSelected_01_InHeadFX		506576
	41631819	Ines_Victory_03_FXLoud	C:\Users\Noa\Perforce\NoaLittlePc\MissionAetheria\MissionAetheria_WwiseProject\.cache\Mac\SFX\Ines_Victory_03_FXLoud_818F3B66.wem		\Actor-Mixer Hierarchy\Default Work Unit\VOICELINE\Roles\Hacker\Victory\Ines_Victory_03_FXLoud		380864
	61632399	Ivan_AllyDead_02_InHeadFX	C:\Users\Noa\Perforce\NoaLittlePc\MissionAetheria\MissionAetheria_WwiseProject\.cache\Mac\SFX\Ivan_AllyDead_02_InHeadFX_818F3B66.wem		\Actor-Mixer Hierarchy\Default Work Unit\VOICELINE\Roles\Sniper\AllyDead\Ivan_AllyDead_02_InHeadFX		439776
